"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年5月16日","430.12","419.60","431.22","418.26","5.02M","2.52%"
"2017年5月15日","419.55","413.12","420.35","413.12","3.34M","1.47%"
"2017年5月12日","413.47","413.59","415.30","410.01","2.23M","0.32%"
"2017年5月11日","412.16","408.40","414.70","406.51","3.05M","0.50%"
"2017年5月10日","410.09","408.40","414.44","407.02","2.60M","0.33%"
"2017年5月9日","408.76","404.44","409.88","398.00","5.28M","0.81%"
"2017年5月8日","405.48","416.18","417.00","404.72","4.07M","-2.57%"
"2017年5月5日","416.19","416.20","422.78","415.10","3.74M","0.05%"
"2017年5月4日","416.00","414.63","418.48","414.63","2.67M","-0.39%"
"2017年5月3日","417.61","411.00","417.66","411.00","2.03M","1.34%"
"2017年5月2日","412.08","411.60","415.00","409.18","2.33M","-0.34%"
"2017年4月28日","413.48","421.99","423.00","409.90","4.95M","-1.89%"
"2017年4月27日","421.44","415.53","421.97","410.43","2.82M","0.83%"
"2017年4月26日","417.96","418.85","428.68","413.01","5.66M","-0.22%"
"2017年4月25日","418.89","404.80","420.17","404.80","7.62M","5.10%"
"2017年4月24日","398.55","400.62","405.00","389.00","5.00M","-0.49%"
"2017年4月21日","400.53","415.00","415.60","400.00","4.93M","-3.56%"
"2017年4月20日","415.31","406.09","420.43","406.09","5.05M","2.36%"
"2017年4月19日","405.74","403.00","409.10","402.86","3.76M","0.27%"
"2017年4月18日","404.65","394.60","406.55","394.60","4.96M","2.24%"
"2017年4月17日","395.79","391.00","398.28","388.55","2.88M","0.09%"
"2017年4月14日","395.45","399.43","399.88","395.00","2.36M","-0.74%"
"2017年4月13日","398.39","390.78","398.59","390.51","4.56M","2.09%"
"2017年4月12日","390.23","385.29","391.00","384.80","2.70M","1.28%"
"2017年4月11日","385.29","388.05","390.70","380.60","4.35M","-1.00%"
"2017年4月10日","389.20","394.00","394.00","388.00","2.89M","-0.93%"
"2017年4月7日","392.87","392.99","394.00","389.60","2.41M","0.24%"
"2017年4月6日","391.91","389.01","393.00","386.63","2.89M","0.58%"
"2017年4月5日","389.66","385.66","394.99","385.00","4.08M","0.85%"
"2017年3月31日","386.36","386.20","388.00","384.18","2.45M","0.06%"
"2017年3月30日","386.14","383.00","386.89","382.60","3.16M","0.65%"
"2017年3月29日","383.65","381.01","385.80","379.90","3.73M","0.89%"
"2017年3月28日","380.26","379.95","381.15","376.66","4.12M","0.38%"
"2017年3月27日","378.82","386.03","389.26","378.39","5.37M","-2.07%"
"2017年3月24日","386.82","392.32","393.22","385.00","3.33M","-0.76%"
"2017年3月23日","389.79","392.03","393.99","386.60","3.45M","-1.19%"
"2017年3月22日","394.48","390.53","394.60","385.00","4.55M","0.12%"
"2017年3月21日","394.01","386.55","396.50","386.50","4.85M","1.97%"
"2017年3月20日","386.41","380.50","386.71","378.88","3.15M","2.10%"
"2017年3月17日","378.48","373.10","384.45","373.10","3.47M","0.99%"
"2017年3月16日","374.77","376.56","378.30","372.80","2.50M","0.02%"
"2017年3月15日","374.68","369.50","375.15","369.01","2.52M","1.40%"
"2017年3月14日","369.50","371.55","373.85","368.34","2.04M","-0.55%"
"2017年3月13日","371.55","370.05","374.33","367.53","2.77M","0.46%"
"2017年3月10日","369.85","369.92","377.00","368.36","4.10M","-0.01%"
"2017年3月9日","369.90","367.00","369.98","365.56","2.34M","0.71%"
"2017年3月8日","367.28","367.18","368.49","365.50","1.60M","0.02%"
"2017年3月7日","367.20","358.03","368.88","358.03","4.63M","2.30%"
"2017年3月6日","358.96","357.66","359.54","356.55","2.28M","0.68%"
"2017年3月3日","356.54","355.00","358.22","355.00","1.42M","-0.08%"
"2017年3月2日","356.82","356.71","357.00","354.53","2.21M","0.06%"
"2017年3月1日","356.61","355.10","358.20","355.00","2.19M","0.55%"
"2017年2月28日","354.66","357.00","359.20","353.58","2.75M","-0.71%"
"2017年2月27日","357.20","362.49","362.85","356.80","2.54M","-1.49%"
"2017年2月24日","362.62","362.00","362.89","360.05","1.77M","0.25%"
"2017年2月23日","361.70","360.97","365.48","359.76","2.33M","-0.05%"
"2017年2月22日","361.89","360.61","366.52","360.00","3.71M","0.88%"
"2017年2月21日","358.74","361.88","362.43","357.18","2.77M","-0.71%"
"2017年2月20日","361.29","350.41","362.32","350.01","6.19M","3.06%"
"2017年2月17日","350.56","348.90","354.44","347.50","2.91M","0.71%"
"2017年2月16日","348.09","348.50","348.62","345.51","1.76M","-0.13%"
"2017年2月15日","348.53","351.50","352.44","347.20","2.63M","-0.48%"
"2017年2月14日","350.21","349.54","352.60","349.10","2.66M","0.13%"
"2017年2月13日","349.75","344.00","351.90","341.92","5.36M","1.35%"
"2017年2月10日","345.08","348.62","349.82","345.00","2.41M","-0.73%"
"2017年2月9日","347.61","345.00","348.79","344.61","2.33M","0.99%"
"2017年2月8日","344.21","343.76","345.50","342.67","1.91M","0.18%"
"2017年2月7日","343.58","346.84","347.40","343.14","2.05M","-0.94%"
"2017年2月6日","346.85","348.49","348.89","344.96","1.57M","0.00%"
"2017年2月3日","346.85","346.00","349.18","345.00","2.09M","0.72%"
"2017年1月26日","344.36","348.14","348.80","341.30","3.78M","-0.90%"
